Timestamp,X,Y,Z
00:21.4,-0.423769,2.473157,9.756262
00:21.5,-0.160167,2.352508,9.584419
00:21.6,-0.162712,2.349065,9.642798
00:21.7,-0.27393,2.488725,9.52634
00:21.8,-0.095651,2.285298,9.574689
00:21.9,0.016765,2.24578,9.384585
00:22.0,0.007784,2.225722,9.659114
00:22.1,-0.051044,2.291585,9.379795
00:22.2,-0.041913,2.288741,9.5696
00:22.3,-0.060175,2.328857,9.662407
00:22.4,-0.060325,2.247426,9.581575
00:22.5,-0.007634,2.232458,9.529932
00:22.6,-0.000898,2.273921,9.542806
00:22.7,0.011676,2.315834,9.676777
00:22.8,0.016466,2.330204,9.585168
00:22.9,-0.026794,2.349963,9.597292
00:23.0,-0.013023,2.336192,9.426647
00:23.1,-0.022154,2.38978,9.479038
00:23.2,-0.008682,2.361489,9.549841
00:23.3,0.04326,2.381248,9.527687
00:23.4,0.073198,2.413581,9.490864
00:23.5,0.06242,2.423011,9.451645
00:23.6,-0.024848,2.384392,9.510772
00:23.7,0.061821,2.420317,9.502988
00:23.8,-0.005988,2.444417,9.614806
00:23.9,-0.031584,2.465972,9.422905
00:24.0,-0.030686,2.491269,9.439371
00:24.1,-0.013622,2.506837,9.47335
00:24.2,-0.012274,2.53902,9.615405
00:24.3,-0.003293,2.493215,9.560918
00:24.4,-0.036674,2.47151,9.527837
00:24.5,0.006736,2.580035,9.488618
00:24.6,-0.011227,2.521806,9.510024
00:24.7,-0.027243,2.52959,9.505533
00:24.8,0.012424,2.537523,9.496103
00:24.9,-0.033979,2.58213,9.4735
00:25.0,-0.028441,2.547852,9.278306
00:25.1,-0.099992,2.542912,9.4973
00:25.2,0.039518,2.557432,9.342372
00:25.3,-0.053139,2.513274,9.595047
00:25.4,-0.031884,2.50519,9.534872
00:25.5,-0.032183,2.479893,9.465716
00:25.6,-0.040566,2.505639,9.447604
00:25.7,-0.117805,2.520608,9.69474
00:25.8,-0.086221,2.480941,9.499097
00:25.9,-0.071402,2.514621,9.576336
00:26.0,-0.059127,2.536924,9.449999
00:26.1,-0.096699,2.49112,9.444909
00:26.2,-0.134121,2.541565,9.43503
00:26.3,-0.095052,2.598447,9.440568
00:26.4,-0.213755,2.65443,9.40614
00:26.5,-0.285756,2.639012,9.500444
00:26.6,-0.296084,2.679129,9.382489
