Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z
stop1_acce,"""stop on point 1""",0,47:13.7,-0.053589,1.432521,9.651629
stop1_acce,"""stop on point 1""",0,47:13.8,0.009879,1.436862,9.698332
stop1_acce,"""stop on point 1""",0,47:13.9,-0.058678,1.460363,9.826166
stop1_acce,"""stop on point 1""",0,47:14.0,-0.099842,1.463956,9.718241
stop1_acce,"""stop on point 1""",0,47:14.1,-0.05763,1.443149,9.704619
stop1_acce,"""stop on point 1""",0,47:14.2,-0.028591,1.439706,9.689052
stop1_acce,"""stop on point 1""",0,47:14.3,-0.0964,1.549278,9.657916
stop1_acce,"""stop on point 1""",0,47:14.4,-0.064067,1.511706,9.711205
stop1_acce,"""stop on point 1""",0,47:14.5,-0.065264,1.53865,9.635613
stop1_acce,"""stop on point 1""",0,47:14.6,-0.050146,1.468746,9.680519
stop1_acce,"""stop on point 1""",0,47:14.7,-0.071102,1.534609,9.72333
stop1_acce,"""stop on point 1""",0,47:14.8,-0.13472,1.545237,9.674382
stop1_acce,"""stop on point 1""",0,47:14.9,-0.05793,1.434766,9.735305
stop1_acce,"""stop on point 1""",0,47:15.0,-0.072449,1.525927,9.729318
stop1_acce,"""stop on point 1""",0,47:15.1,-0.099543,1.410966,9.779763
stop1_acce,"""stop on point 1""",0,47:15.2,-0.06751,1.479523,9.686806
stop1_acce,"""stop on point 1""",0,47:15.3,-0.071102,1.495989,9.696386
stop1_acce,"""stop on point 1""",0,47:15.4,-0.089364,1.479673,9.723929
stop1_acce,"""stop on point 1""",0,47:15.5,-0.105531,1.509162,9.660012
stop1_acce,"""stop on point 1""",0,47:15.6,-0.079036,1.501528,9.670041
stop1_acce,"""stop on point 1""",0,47:15.7,-0.074695,1.523083,9.730964
stop1_acce,"""stop on point 1""",0,47:15.8,-0.073797,1.538351,9.631421
stop1_acce,"""stop on point 1""",0,47:15.9,-0.135618,1.57727,9.667347
stop1_acce,"""stop on point 1""",0,47:16.0,-0.017065,1.475033,9.775721
stop1_acce,"""stop on point 1""",0,47:16.1,-0.085173,1.557661,9.640103
stop1_acce,"""stop on point 1""",0,47:16.2,-0.084275,1.518891,9.662557
stop1_acce,"""stop on point 1""",0,47:16.3,-0.098795,1.50991,9.750574
stop1_acce,"""stop on point 1""",0,47:16.4,-0.051343,1.508114,9.720336
stop1_acce,"""stop on point 1""",0,47:16.5,-0.083975,1.479074,9.680819
stop1_acce,"""stop on point 1""",0,47:16.6,-0.102537,1.465453,9.764495
stop1_acce,"""stop on point 1""",0,47:16.7,-0.111219,1.567241,9.712852
stop1_acce,"""stop on point 1""",0,47:16.8,-0.086071,1.497785,9.671239
stop1_acce,"""stop on point 1""",0,47:16.9,-0.055984,1.464854,9.683962
stop1_acce,"""stop on point 1""",0,47:17.0,-0.125289,1.575923,9.735305
stop1_acce,"""stop on point 1""",0,47:17.1,-0.025597,1.450484,9.779014
stop1_acce,"""stop on point 1""",0,47:17.2,-0.10583,1.496438,9.707613
stop1_acce,"""stop on point 1""",0,47:17.3,-0.084724,1.525627,9.669891
stop1_acce,"""stop on point 1""",0,47:17.4,-0.087867,1.496588,9.755663
stop1_acce,"""stop on point 1""",0,47:17.5,-0.090861,1.506916,9.716445
stop1_acce,"""stop on point 1""",0,47:17.6,-0.101339,1.518143,9.727522
stop1_acce,"""stop on point 1""",0,47:17.7,-0.098196,1.579964,9.700428
stop1_acce,"""stop on point 1""",0,47:17.8,-0.039518,1.551224,9.631721
stop1_acce,"""stop on point 1""",0,47:17.9,-0.068408,1.530268,9.690099
stop1_acce,"""stop on point 1""",0,47:18.0,-0.064965,1.563648,9.72333
stop1_acce,"""stop on point 1""",0,47:18.1,-0.150437,1.610351,9.695039
stop1_acce,"""stop on point 1""",0,47:18.2,-0.040566,1.460064,9.821077
stop1_acce,"""stop on point 1""",0,47:18.3,-0.099693,1.59673,9.712553
stop1_acce,"""stop on point 1""",0,47:18.4,-0.079934,1.59179,9.598789
stop1_acce,"""stop on point 1""",0,47:18.5,-0.066162,1.515898,9.761201
stop1_acce,"""stop on point 1""",0,47:18.6,-0.037871,1.579515,9.658515
stop1_acce,"""stop on point 1""",0,47:18.7,-0.02904,1.537004,9.735605
stop1_acce,"""stop on point 1""",0,47:18.8,-0.136067,1.604663,9.78605
stop1_acce,"""stop on point 1""",0,47:18.9,0.017663,1.551823,9.728869
stop1_acce,"""stop on point 1""",0,47:47.7,-0.024699,1.681004,9.488169
stop1_acce,"""stop on point 1""",0,47:47.8,0.111967,1.570235,9.743089
stop1_acce,"""stop on point 1""",0,47:47.9,-0.054038,1.736988,9.607771
stop1_acce,"""stop on point 1""",0,47:48.0,-0.003443,1.660497,9.725276
stop1_acce,"""stop on point 1""",0,47:48.1,-0.056582,1.754352,9.659263
stop1_acce,"""stop on point 1""",0,47:48.2,0.016615,1.623524,9.716445
stop1_acce,"""stop on point 1""",0,47:48.3,-0.010329,1.600771,9.678424
stop1_acce,"""stop on point 1""",0,47:48.4,-0.057331,1.709595,9.631122
stop1_acce,"""stop on point 1""",0,47:48.5,0.03368,1.626368,9.71854
stop1_acce,"""stop on point 1""",0,47:48.6,0.038021,1.675765,9.717193
stop1_acce,"""stop on point 1""",0,47:48.7,-0.025746,1.671873,9.662706
stop1_acce,"""stop on point 1""",0,47:48.8,-0.005389,1.68774,9.64669
stop1_acce,"""stop on point 1""",0,47:48.9,-0.0479,1.714535,9.689052
stop1_acce,"""stop on point 1""",0,47:49.0,-0.012274,1.677112,9.655222
stop1_acce,"""stop on point 1""",0,47:49.1,-0.068258,1.716181,9.676777
stop1_acce,"""stop on point 1""",0,47:49.2,-0.01901,1.667682,9.721983
stop1_acce,"""stop on point 1""",0,47:49.3,-0.046104,1.7072,9.693842
stop1_acce,"""stop on point 1""",0,47:49.4,-0.051044,1.685196,9.642349
stop1_acce,"""stop on point 1""",0,47:49.5,-0.015717,1.624572,9.748328
stop1_acce,"""stop on point 1""",0,47:49.6,-0.014669,1.688339,9.63187
stop1_acce,"""stop on point 1""",0,47:49.7,-0.119751,1.728755,9.631421
stop1_acce,"""stop on point 1""",0,47:49.8,0.020956,1.625919,9.729617
stop1_acce,"""stop on point 1""",0,47:49.9,-0.000449,1.66394,9.686656
stop1_acce,"""stop on point 1""",0,47:50.0,-0.044458,1.703907,9.663006
stop1_acce,"""stop on point 1""",0,47:50.1,-0.034428,1.729953,9.711804
stop1_acce,"""stop on point 1""",0,47:50.2,-0.039668,1.684896,9.617949
stop1_acce,"""stop on point 1""",0,47:50.3,-0.027992,1.673071,9.68516
stop1_acce,"""stop on point 1""",0,47:50.4,-0.047002,1.700913,9.638756
stop1_acce,"""stop on point 1""",0,47:50.5,0.001647,1.690285,9.67558
stop1_acce,"""stop on point 1""",0,47:50.6,-0.003593,1.70226,9.674083
stop1_acce,"""stop on point 1""",0,47:50.7,-0.052092,1.608256,9.708511
stop1_acce,"""stop on point 1""",0,47:50.8,0.034578,1.582958,9.725576
stop1_acce,"""stop on point 1""",0,47:50.9,-0.052241,1.708248,9.688602
stop1_acce,"""stop on point 1""",0,47:51.0,-0.032932,1.674418,9.628428
stop1_acce,"""stop on point 1""",0,47:51.1,-0.047751,1.628913,9.717043
stop1_acce,"""stop on point 1""",0,47:51.2,0.017065,1.620979,9.697284
stop1_acce,"""stop on point 1""",0,47:51.3,-0.008383,1.62532,9.727222
stop1_acce,"""stop on point 1""",0,47:51.4,-0.044757,1.712289,9.676328
stop1_acce,"""stop on point 1""",0,47:51.5,0.030836,1.636996,9.685609
stop1_acce,"""stop on point 1""",0,47:51.6,0.00494,1.652713,9.635313
stop1_acce,"""stop on point 1""",0,47:51.7,-0.074096,1.631757,9.707613
stop1_acce,"""stop on point 1""",0,47:51.8,-0.028141,1.652414,9.674232
stop1_acce,"""stop on point 1""",0,47:51.9,-0.027393,1.585353,9.698033
stop1_acce,"""stop on point 1""",0,47:52.0,-0.014071,1.647175,9.634116
stop1_acce,"""stop on point 1""",0,47:52.1,0.018112,1.619782,9.644594
stop1_acce,"""stop on point 1""",0,47:52.2,-0.001946,1.61574,9.595197
stop1_acce,"""stop on point 1""",0,47:52.3,0.032333,1.588048,9.805809
stop1_acce,"""stop on point 1""",0,47:52.4,-0.047451,1.679957,9.666299
stop1_acce,"""stop on point 1""",0,47:52.5,-0.031285,1.616039,9.714948
stop1_acce,"""stop on point 1""",0,47:52.6,-0.00943,1.679358,9.658216
stop1_acce,"""stop on point 1""",0,47:52.7,-0.091011,1.637295,9.753717
stop1_acce,"""stop on point 1""",0,47:52.8,0.012724,1.625919,9.700578
stop1_acce,"""stop on point 1""",0,47:52.9,-0.012574,1.727258,9.661658
stop1_acce,"""stop on point 1""",0,47:53.0,-0.010029,1.566343,8.947793
stop1_acce,"""stop on point 1""",0,48:21.7,0.02874,1.26472,9.737251
stop1_acce,"""stop on point 1""",0,48:21.8,-0.149838,1.320255,9.831855
stop1_acce,"""stop on point 1""",0,48:21.9,-0.095352,1.332679,9.729168
stop1_acce,"""stop on point 1""",0,48:22.0,-0.123793,1.334625,9.741443
stop1_acce,"""stop on point 1""",0,48:22.1,-0.065564,1.293909,9.699081
stop1_acce,"""stop on point 1""",0,48:22.2,-0.080083,1.305884,9.758657
stop1_acce,"""stop on point 1""",0,48:22.3,-0.125289,1.373095,9.674532
stop1_acce,"""stop on point 1""",0,48:22.4,-0.082329,1.350641,9.729018
stop1_acce,"""stop on point 1""",0,48:22.5,-0.088616,1.362317,9.695638
stop1_acce,"""stop on point 1""",0,48:22.6,-0.078736,1.301992,9.770782
stop1_acce,"""stop on point 1""",0,48:22.7,-0.16361,1.435215,9.630972
stop1_acce,"""stop on point 1""",0,48:22.8,-0.072749,1.352737,9.706715
stop1_acce,"""stop on point 1""",0,48:22.9,-0.085173,1.350941,9.689052
stop1_acce,"""stop on point 1""",0,48:23.0,-0.204026,1.397045,9.768087
stop1_acce,"""stop on point 1""",0,48:23.1,-0.030836,1.374292,9.60328
stop1_acce,"""stop on point 1""",0,48:23.2,-0.071701,1.370101,9.734856
stop1_acce,"""stop on point 1""",0,48:23.3,-0.143701,1.337319,9.690848
stop1_acce,"""stop on point 1""",0,48:23.4,-0.096699,1.335223,9.721534
stop1_acce,"""stop on point 1""",0,48:23.5,-0.160167,1.378184,9.719289
stop1_acce,"""stop on point 1""",0,48:23.6,-0.050295,1.254541,9.889784
