Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z
stop1_gyro,"""stop on point 1""",0,47:13.7,-0.039848,-0.014238,0.031386
stop1_gyro,"""stop on point 1""",0,47:13.8,-0.007726,0.012683,0.022318
stop1_gyro,"""stop on point 1""",0,47:14.0,0.001186,-0.03682,0.011402
stop1_gyro,"""stop on point 1""",0,47:14.1,-0.011951,-0.016786,0.004249
stop1_gyro,"""stop on point 1""",0,47:14.2,0.007842,-0.012051,-0.012149
stop1_gyro,"""stop on point 1""",0,47:14.3,-0.005624,-0.009403,0.015208
stop1_gyro,"""stop on point 1""",0,47:14.4,0.010463,-0.006959,0.001623
stop1_gyro,"""stop on point 1""",0,47:14.5,0.022972,-0.014305,-0.00336
stop1_gyro,"""stop on point 1""",0,47:14.6,0.001581,-0.003806,-0.011199
stop1_gyro,"""stop on point 1""",0,47:14.7,0.000718,-0.01655,-0.016876
stop1_gyro,"""stop on point 1""",0,47:14.8,0.001018,-0.021185,-0.007282
stop1_gyro,"""stop on point 1""",0,47:14.9,-0.000366,-0.005565,-0.004248
stop1_gyro,"""stop on point 1""",0,47:15.0,-0.000475,-0.018033,0.011178
stop1_gyro,"""stop on point 1""",0,47:15.1,-0.015029,-0.014847,0.00065
stop1_gyro,"""stop on point 1""",0,47:15.2,0.007551,-0.02218,-0.010155
stop1_gyro,"""stop on point 1""",0,47:15.3,0.007425,-0.00308,0.001599
stop1_gyro,"""stop on point 1""",0,47:15.4,-0.000683,-0.025202,0.001383
stop1_gyro,"""stop on point 1""",0,47:15.5,-0.000838,-0.014265,0.008824
stop1_gyro,"""stop on point 1""",0,47:15.6,0.004375,-0.005882,0.008929
stop1_gyro,"""stop on point 1""",0,47:15.7,0.013785,-0.018869,0.003035
stop1_gyro,"""stop on point 1""",0,47:15.8,-0.007047,0.00459,0.015088
stop1_gyro,"""stop on point 1""",0,47:15.9,-0.020338,-0.009024,0.022609
stop1_gyro,"""stop on point 1""",0,47:16.0,0.006092,-0.03056,-0.013724
stop1_gyro,"""stop on point 1""",0,47:16.1,-0.002254,0.006636,0.002845
stop1_gyro,"""stop on point 1""",0,47:16.2,-0.008912,-9.90E-05,-0.003239
stop1_gyro,"""stop on point 1""",0,47:16.3,-0.009817,-0.018741,-0.006085
stop1_gyro,"""stop on point 1""",0,47:16.4,-0.007398,-0.01849,-0.012888
stop1_gyro,"""stop on point 1""",0,47:16.5,-0.012881,-0.010801,-0.012124
stop1_gyro,"""stop on point 1""",0,47:16.6,-0.020316,-0.015459,-0.003933
stop1_gyro,"""stop on point 1""",0,47:16.7,-0.007479,-0.017988,0.00846
stop1_gyro,"""stop on point 1""",0,47:16.8,-0.005919,-0.006982,0.013603
stop1_gyro,"""stop on point 1""",0,47:16.9,-0.014651,-0.013722,-0.00336
stop1_gyro,"""stop on point 1""",0,47:17.0,-0.032871,-0.016062,0.019947
stop1_gyro,"""stop on point 1""",0,47:17.1,-0.001875,-0.023678,-0.015782
stop1_gyro,"""stop on point 1""",0,47:17.2,-0.01201,0.000785,-0.001162
stop1_gyro,"""stop on point 1""",0,47:17.3,0.000672,0.00499,-0.002323
stop1_gyro,"""stop on point 1""",0,47:17.4,0.013759,-0.009223,-0.007205
stop1_gyro,"""stop on point 1""",0,47:17.5,0.000485,-0.021128,0.002478
stop1_gyro,"""stop on point 1""",0,47:17.6,-0.005274,-0.01888,-0.004105
stop1_gyro,"""stop on point 1""",0,47:17.7,0.001918,-0.01595,0.007932
stop1_gyro,"""stop on point 1""",0,47:17.8,0.007488,-0.009455,-0.005104
stop1_gyro,"""stop on point 1""",0,47:17.9,-0.016115,-0.000396,-0.003633
stop1_gyro,"""stop on point 1""",0,47:18.0,-0.01682,-0.021861,-0.006483
stop1_gyro,"""stop on point 1""",0,47:18.1,-0.032272,-0.014697,0.017687
stop1_gyro,"""stop on point 1""",0,47:18.2,-0.011192,-0.029704,-0.016746
stop1_gyro,"""stop on point 1""",0,47:18.3,-0.014396,-0.008511,0.007048
stop1_gyro,"""stop on point 1""",0,47:18.4,-0.007143,-0.01062,0.006828
stop1_gyro,"""stop on point 1""",0,47:18.5,-0.009517,-0.019483,0.000415
stop1_gyro,"""stop on point 1""",0,47:18.6,-0.016749,-0.018372,0.002548
stop1_gyro,"""stop on point 1""",0,47:18.7,0.003451,-0.012537,-0.012839
stop1_gyro,"""stop on point 1""",0,47:18.8,-0.008887,-0.040779,0.008455
stop1_gyro,"""stop on point 1""",0,47:18.9,0.42236,0.157627,-0.043588
stop1_gyro,"""stop on point 1""",0,47:47.8,-0.068152,-0.004658,0.033472
stop1_gyro,"""stop on point 1""",0,47:47.9,-0.02955,-0.032678,-0.005923
stop1_gyro,"""stop on point 1""",0,47:48.0,-0.033018,-0.022875,0.023744
stop1_gyro,"""stop on point 1""",0,47:48.1,-0.012471,-0.007609,0.01861
stop1_gyro,"""stop on point 1""",0,47:48.2,-0.018176,-0.013945,0.00243
stop1_gyro,"""stop on point 1""",0,47:48.3,-0.016655,-0.028887,0.005955
stop1_gyro,"""stop on point 1""",0,47:48.4,-0.010593,-0.022972,0.018046
stop1_gyro,"""stop on point 1""",0,47:48.5,-0.017408,-0.012993,0.011321
stop1_gyro,"""stop on point 1""",0,47:48.6,-0.007786,-0.019664,-0.012859
stop1_gyro,"""stop on point 1""",0,47:48.7,-0.013342,-0.014478,-0.002392
stop1_gyro,"""stop on point 1""",0,47:48.8,-0.018067,-0.021693,-0.014131
stop1_gyro,"""stop on point 1""",0,47:48.9,-0.035468,-0.017146,0.005031
stop1_gyro,"""stop on point 1""",0,47:49.0,-0.010869,-0.008441,-0.006602
stop1_gyro,"""stop on point 1""",0,47:49.1,-0.005131,-0.000383,0.008436
stop1_gyro,"""stop on point 1""",0,47:49.2,0.011653,0.00671,-0.015998
stop1_gyro,"""stop on point 1""",0,47:49.3,0.008703,-0.019712,-0.011235
stop1_gyro,"""stop on point 1""",0,47:49.4,-0.010374,-0.015227,-0.002399
stop1_gyro,"""stop on point 1""",0,47:49.5,-0.000709,-0.024041,-0.003769
stop1_gyro,"""stop on point 1""",0,47:49.6,0.011376,-0.007056,-0.016528
stop1_gyro,"""stop on point 1""",0,47:49.8,-0.010801,-0.002035,0.008063
stop1_gyro,"""stop on point 1""",0,47:49.9,-0.009408,-0.011706,-0.007895
stop1_gyro,"""stop on point 1""",0,47:50.0,-0.007551,-0.011489,-0.005504
stop1_gyro,"""stop on point 1""",0,47:50.1,0.005429,-0.006642,-0.016693
stop1_gyro,"""stop on point 1""",0,47:50.2,0.021882,-0.018557,-0.011683
stop1_gyro,"""stop on point 1""",0,47:50.3,-0.004079,-0.007626,-0.00353
stop1_gyro,"""stop on point 1""",0,47:50.4,-0.009174,-0.017208,0.004961
stop1_gyro,"""stop on point 1""",0,47:50.5,-0.004043,-0.008077,0.012698
stop1_gyro,"""stop on point 1""",0,47:50.6,0.004708,-0.014076,-0.001145
stop1_gyro,"""stop on point 1""",0,47:50.7,-0.010085,-0.009151,-0.003759
stop1_gyro,"""stop on point 1""",0,47:50.8,-0.038935,-0.009471,0.004741
stop1_gyro,"""stop on point 1""",0,47:50.9,-0.017,-0.03915,-0.017769
stop1_gyro,"""stop on point 1""",0,47:51.0,-0.011193,-0.0154,0.005041
stop1_gyro,"""stop on point 1""",0,47:51.1,-0.01013,-0.006131,-0.002064
stop1_gyro,"""stop on point 1""",0,47:51.2,-0.010696,-0.007352,0.011005
stop1_gyro,"""stop on point 1""",0,47:51.3,-0.012439,-0.0121,-0.001902
stop1_gyro,"""stop on point 1""",0,47:51.4,-0.011415,-0.01066,0.000904
stop1_gyro,"""stop on point 1""",0,47:51.5,-0.001468,-0.016293,-0.003311
stop1_gyro,"""stop on point 1""",0,47:51.6,-0.002147,-0.003687,-0.007422
stop1_gyro,"""stop on point 1""",0,47:51.7,-0.02849,-0.005825,-0.012577
stop1_gyro,"""stop on point 1""",0,47:51.8,-0.022059,-0.033982,-0.002371
stop1_gyro,"""stop on point 1""",0,47:51.9,-0.016551,-0.03335,0.016754
stop1_gyro,"""stop on point 1""",0,47:52.0,-0.012251,-0.014465,0.016443
stop1_gyro,"""stop on point 1""",0,47:52.1,0.002107,-0.030921,0.004767
stop1_gyro,"""stop on point 1""",0,47:52.2,-0.00076,-0.009812,0.009213
stop1_gyro,"""stop on point 1""",0,47:52.3,-0.00976,-0.004306,0.001243
stop1_gyro,"""stop on point 1""",0,47:52.4,0.007893,-0.022769,-0.012428
stop1_gyro,"""stop on point 1""",0,47:52.5,-0.007149,-0.014989,-0.003407
stop1_gyro,"""stop on point 1""",0,47:52.6,-0.00401,-0.013326,-0.002471
stop1_gyro,"""stop on point 1""",0,47:52.7,-0.008008,-0.008428,-0.013854
stop1_gyro,"""stop on point 1""",0,47:52.8,-0.019152,0.000532,0.011634
stop1_gyro,"""stop on point 1""",0,47:52.9,0.006845,-0.019674,-0.008299
stop1_gyro,"""stop on point 1""",0,47:53.0,-0.002813,-0.023467,-0.001253
stop1_gyro,"""stop on point 1""",0,48:21.7,-0.007439,-0.00828,-0.000618
stop1_gyro,"""stop on point 1""",0,48:21.8,-0.004079,-0.029084,-0.006863
stop1_gyro,"""stop on point 1""",0,48:21.9,-0.022557,-0.004475,0.011288
stop1_gyro,"""stop on point 1""",0,48:22.0,-0.014847,-0.036979,-0.005939
stop1_gyro,"""stop on point 1""",0,48:22.1,-0.006845,-0.009066,-0.00059
stop1_gyro,"""stop on point 1""",0,48:22.2,0.006392,-0.008617,-0.016717
stop1_gyro,"""stop on point 1""",0,48:22.3,-0.007886,-0.002102,0.006346
stop1_gyro,"""stop on point 1""",0,48:22.4,-0.019629,-0.014918,0.005003
stop1_gyro,"""stop on point 1""",0,48:22.5,0.00064,-0.016697,-0.001284
stop1_gyro,"""stop on point 1""",0,48:22.6,0.002756,-0.020318,-0.001226
stop1_gyro,"""stop on point 1""",0,48:22.7,-0.009706,-0.01013,0.002877
stop1_gyro,"""stop on point 1""",0,48:22.8,-0.017911,-0.001446,0.005312
stop1_gyro,"""stop on point 1""",0,48:22.9,-0.004341,-0.01754,-0.01135
stop1_gyro,"""stop on point 1""",0,48:23.0,-0.005434,-0.006113,0.016663
stop1_gyro,"""stop on point 1""",0,48:23.1,-0.029952,-0.006232,0.027405
stop1_gyro,"""stop on point 1""",0,48:23.2,-0.007762,-0.011191,-0.011329
stop1_gyro,"""stop on point 1""",0,48:23.3,-0.027285,-0.000674,8.20E-05
stop1_gyro,"""stop on point 1""",0,48:23.4,-0.017939,0.008626,0.007306
stop1_gyro,"""stop on point 1""",0,48:23.5,-0.009232,-0.012326,-0.000866
stop1_gyro,"""stop on point 1""",0,48:23.6,0.004793,-0.033496,-0.003937
stop1_gyro,"""stop on point 1""",0,48:23.7,-0.009347,-0.012941,0.005435
stop1_gyro,"""stop on point 1""",0,48:23.8,-0.012432,-0.018988,0.011786
stop1_gyro,"""stop on point 1""",0,48:23.9,-0.00308,-0.007568,0.006697
stop1_gyro,"""stop on point 1""",0,48:24.0,-0.010558,-0.004985,-0.001567
stop1_gyro,"""stop on point 1""",0,48:24.1,-0.014051,-0.031659,-0.001082
stop1_gyro,"""stop on point 1""",0,48:24.2,0.000719,-0.018466,-0.011928
stop1_gyro,"""stop on point 1""",0,48:24.3,-0.00311,-0.007273,0.001951
stop1_gyro,"""stop on point 1""",0,48:24.4,-0.013055,-0.010045,2.30E-05
stop1_gyro,"""stop on point 1""",0,48:24.6,-0.012572,-0.00603,-0.00622
stop1_gyro,"""stop on point 1""",0,48:24.7,-0.017857,-0.008531,-0.000548
stop1_gyro,"""stop on point 1""",0,48:24.8,-0.005266,-0.012475,-0.005982
stop1_gyro,"""stop on point 1""",0,48:24.9,-0.015923,-0.004039,0.007426
stop1_gyro,"""stop on point 1""",0,48:25.0,-0.006826,-0.005239,0.009152
stop1_gyro,"""stop on point 1""",0,48:25.1,-0.001933,-0.019269,-0.006563
stop1_gyro,"""stop on point 1""",0,48:25.2,-0.00575,-0.010328,-0.008248
stop1_gyro,"""stop on point 1""",0,48:25.3,-0.017964,0.007067,0.006388
stop1_gyro,"""stop on point 1""",0,48:25.4,0.002402,-0.009671,-0.010445
stop1_gyro,"""stop on point 1""",0,48:25.5,-0.008134,-0.031446,-0.00604
stop1_gyro,"""stop on point 1""",0,48:25.6,-0.006971,-0.020302,-0.006542
stop1_gyro,"""stop on point 1""",0,48:25.7,-0.017479,-0.01594,0.005561
stop1_gyro,"""stop on point 1""",0,48:25.8,0.000115,-0.024951,0.003268
stop1_gyro,"""stop on point 1""",0,48:25.9,-0.012788,-0.005468,0.010883
stop1_gyro,"""stop on point 1""",0,48:26.0,0.005237,-0.023226,0.000427
stop1_gyro,"""stop on point 1""",0,48:26.1,-0.0194,-0.003314,-0.005931
