Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,47:13.7,-177.221863,-8.685373,0.577524,,,
stop1_ori,"""stop on point 1""",0,47:13.8,-177.381083,-8.519427,0.556023,,,
stop1_ori,"""stop on point 1""",0,47:13.9,-177.4984,-8.479736,0.576972,,,
stop1_ori,"""stop on point 1""",0,47:14.0,-177.54773,-8.59432,0.498149,,,
stop1_ori,"""stop on point 1""",0,47:14.1,-177.619883,-8.653508,0.475804,,,
stop1_ori,"""stop on point 1""",0,47:14.2,-177.638141,-8.677181,0.453734,,,
stop1_ori,"""stop on point 1""",0,47:14.3,-177.593187,-8.730509,0.478555,,,
stop1_ori,"""stop on point 1""",0,47:14.4,-177.630933,-8.738068,0.51945,,,
stop1_ori,"""stop on point 1""",0,47:14.5,-177.654977,-8.792228,0.526637,,,
stop1_ori,"""stop on point 1""",0,47:14.6,-177.68529,-8.806071,0.523884,,,
stop1_ori,"""stop on point 1""",0,47:14.7,-177.646191,-8.776935,0.530666,,,
stop1_ori,"""stop on point 1""",0,47:14.8,-177.568559,-8.755657,0.520981,,,
stop1_ori,"""stop on point 1""",0,47:14.9,-177.564863,-8.705155,0.513957,,,
stop1_ori,"""stop on point 1""",0,47:15.0,-177.548671,-8.727194,0.511053,,,
stop1_ori,"""stop on point 1""",0,47:15.1,-177.56785,-8.750013,0.525542,,,
stop1_ori,"""stop on point 1""",0,47:15.2,-177.492131,-8.775378,0.553559,,,
stop1_ori,"""stop on point 1""",0,47:15.3,-177.461871,-8.774135,0.525426,,,
stop1_ori,"""stop on point 1""",0,47:15.4,-177.458663,-8.822793,0.525903,,,
stop1_ori,"""stop on point 1""",0,47:15.5,-177.462558,-8.834625,0.482365,,,
stop1_ori,"""stop on point 1""",0,47:15.6,-177.510125,-8.828585,0.473094,,,
stop1_ori,"""stop on point 1""",0,47:15.7,-177.518321,-8.852821,0.469508,,,
stop1_ori,"""stop on point 1""",0,47:15.8,-177.546228,-8.912596,0.426105,,,
stop1_ori,"""stop on point 1""",0,47:15.9,-177.551469,-8.945574,0.468262,,,
stop1_ori,"""stop on point 1""",0,47:16.0,-177.643025,-8.856091,0.521376,,,
stop1_ori,"""stop on point 1""",0,47:16.1,-177.609142,-8.85777,0.420719,,,
stop1_ori,"""stop on point 1""",0,47:16.2,-177.584394,-8.867375,0.423544,,,
stop1_ori,"""stop on point 1""",0,47:16.3,-177.518826,-8.948112,0.480692,,,
stop1_ori,"""stop on point 1""",0,47:16.4,-177.533899,-8.919867,0.499683,,,
stop1_ori,"""stop on point 1""",0,47:16.5,-177.457783,-8.919724,0.481878,,,
stop1_ori,"""stop on point 1""",0,47:16.6,-177.428623,-8.881971,0.521467,,,
stop1_ori,"""stop on point 1""",0,47:16.7,-177.441223,-8.841716,0.529535,,,
stop1_ori,"""stop on point 1""",0,47:16.8,-177.471839,-8.863627,0.488696,,,
stop1_ori,"""stop on point 1""",0,47:16.9,-177.531224,-8.877696,0.495113,,,
stop1_ori,"""stop on point 1""",0,47:17.0,-177.509869,-8.860308,0.501017,,,
stop1_ori,"""stop on point 1""",0,47:17.1,-177.547361,-8.805275,0.514195,,,
stop1_ori,"""stop on point 1""",0,47:17.2,-177.46296,-8.833559,0.493176,,,
stop1_ori,"""stop on point 1""",0,47:17.3,-177.452812,-8.818305,0.496571,,,
