Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:22.9,-0.496517,3.785628,8.954828
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.0,-0.462388,3.869603,9.281898
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.1,-0.296084,3.820505,8.930728
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.2,-0.469723,3.89011,8.744067
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.3,-0.472418,4.109105,8.941207
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.4,-0.837359,4.051176,8.473878
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.5,-1.093476,4.69828,8.90094
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.6,-1.131347,4.305197,8.348439
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.7,-0.628693,4.660259,8.403974
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.8,-0.941392,4.661007,8.276888
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:23.9,-0.943488,4.989275,8.178243
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.0,-1.027912,5.349426,9.476793
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.1,-0.349823,5.052743,10.32942
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.2,0.214654,2.812801,10.945539
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.3,-0.020208,2.852618,8.148006
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.4,-0.421374,3.340903,7.382199
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.5,-0.42302,4.229904,7.092252
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.6,-0.248783,4.797224,7.952962
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.7,-0.355211,5.781727,9.558822
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.8,-1.383273,6.377039,10.746004
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:24.9,-1.249751,3.675756,9.419911
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.0,-0.934656,3.33252,8.022268
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.1,-0.398771,3.499872,7.269333
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.2,-0.18292,4.587211,7.212302
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.3,-0.536933,5.542824,8.145611
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.4,-0.883762,5.764064,10.28586
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.5,0.015717,3.748655,10.907967
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.6,1.146765,3.360063,9.385183
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.7,-0.400118,3.864963,7.038214
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.8,-0.404908,4.265081,6.483917
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:25.9,-0.097747,5.23192,7.667056
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:26.0,-0.251477,5.871241,10.23332
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:26.1,-0.715662,5.716313,11.534863
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:26.2,-1.272654,4.637955,8.909024
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:26.3,-0.61537,3.50571,8.329878
wf1-2_E_acce,"""walk forward from point 1 to point 2: walk east""",1,34:26.4,-0.39937,3.970044,6.702911
