Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:22.9,-0.142849,-0.126159,-0.022539
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.0,0.084349,0.096695,0.09213
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.1,0.061763,0.051543,0.071287
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.2,0.007641,0.028679,0.109433
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.3,-0.12364,0.099057,0.051943
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.4,0.031954,-0.03942,0.144715
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.5,-0.291323,0.145343,-0.033145
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.6,-0.136222,0.024592,0.25602
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.7,-0.106731,0.015743,0.084673
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.8,0.083646,0.004052,0.138814
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:23.9,0.013324,-0.088421,0.154715
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.0,0.161111,-0.374704,0.323159
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.1,-0.591949,0.013053,-0.137447
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.2,0.743143,0.122592,-0.392463
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.3,0.119111,-0.098701,-0.457371
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.4,0.16077,-0.190773,-0.194502
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.5,-0.105347,-0.156375,-0.195311
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.6,0.149146,-0.055042,0.056747
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.7,0.240357,0.281866,0.271796
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.8,-0.290284,-0.213951,0.155169
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:24.9,0.043724,0.024281,0.411537
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.0,-0.076435,-0.111235,0.23824
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.1,0.044423,0.00459,0.036121
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.2,-0.038079,0.007,-0.10087
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.3,-0.183652,-0.365386,-0.034919
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.4,-0.034997,-0.431528,0.251534
wf1-2_E_gyro,"""walk forward from point 1 to point 2: walk east""",1,34:25.5,0.617926,-0.274882,0.141323
