Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:22.9,-36.978607,5.122444,-27.375427,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.0,-37.150848,5.185294,-26.334412,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.1,-36.502533,5.50102,-26.971283,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.2,-36.340057,5.727632,-27.361938,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.3,-36.175751,6.319921,-27.803833,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.4,-35.28476,6.683233,-28.126236,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.5,-34.425659,7.30197,-28.382904,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.6,-33.429993,7.549561,-28.562073,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.7,-33.13797,7.851676,-28.229767,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.8,-32.209412,7.864803,-28.234192,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:23.9,-31.361969,7.034353,-28.070404,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.0,-30.593842,6.536341,-28.058411,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.1,-30.305756,5.943894,-27.11763,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.2,-30.073883,5.837821,-26.653183,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.3,-29.77066,2.26535,-26.785156,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.4,-29.847961,-0.13493,-26.429031,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.5,-29.930176,-1.609495,-26.274384,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.6,-29.898315,-2.308178,-26.317383,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.7,-29.629974,-2.831648,-26.058502,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.8,-29.589996,-3.524076,-26.567963,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:24.9,-29.292603,-3.237923,-26.881454,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.0,-29.346375,-2.432747,-26.905807,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.1,-29.661041,-2.072905,-26.52005,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.2,-29.128937,-2.254248,-26.702408,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.3,-29.213501,-2.845707,-26.2332,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.4,-30.333466,-3.000826,-25.757172,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.5,-31.14505,-1.770298,-25.731552,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.6,-31.872864,-3.24806,-24.789597,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.7,-30.771545,-4.656033,-25.446136,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.8,-30.550568,-6.085958,-25.851532,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:25.9,-30.819153,-6.46002,-26.387573,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.0,-30.855988,-6.644308,-25.724716,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.1,-30.243927,-6.238995,-26.529556,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.2,-29.793701,-5.781178,-27.203003,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.3,-30.315826,-4.275841,-27.256836,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.4,-29.803436,-3.855087,-28.412231,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.5,-29.67334,-4.241102,-27.733734,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.6,-30.461792,-3.968399,-27.10054,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.7,-31.328247,-3.778547,-26.91658,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.8,-31.374268,-3.359169,-27.04805,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:26.9,-31.342743,-4.578629,-26.196228,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.0,-30.832611,-6.615833,-26.788422,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.1,-31.096832,-7.359186,-26.397812,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.2,-30.732971,-7.782269,-26.450119,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.3,-30.668488,-7.249678,-27.101608,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.4,-31.232635,-5.920822,-26.625092,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.5,-31.063477,-5.598265,-27.605515,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.6,-30.756683,-5.071692,-27.770111,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.7,-30.547272,-4.872311,-28.159882,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.8,-30.591064,-4.879656,-27.996017,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:27.9,-31.771027,-4.636253,-27.441147,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.0,-31.698242,-3.949894,-27.352219,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.1,-31.84668,-4.043316,-26.942947,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.2,-31.403503,-5.627653,-27.176559,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.3,-31.271606,-6.518045,-27.717621,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.4,-31.171448,-6.37376,-27.430969,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.5,-31.273285,-5.934654,-27.780823,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.6,-30.398834,-4.877007,-29.244247,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.7,-30.863129,-3.370491,-29.129303,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.8,-31.06485,-2.000061,-29.700668,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:28.9,-31.025085,-1.590008,-29.542313,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.0,-30.601776,-1.644705,-29.785019,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.1,-30.670502,-1.576176,-30.411652,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,34:29.2,-31.722961,-0.630507,-29.619446,
