Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:22.9,-143.139629,-22.669481,3.752309
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.0,-143.332336,-22.329724,3.257432
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.1,-143.87772,-22.637959,3.621033
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.2,-144.392677,-22.959209,3.885479
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.3,-145.084851,-22.787106,3.913369
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.4,-145.76842,-22.990374,4.507833
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.5,-146.45275,-22.621873,4.500059
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.6,-146.735966,-21.505729,5.614228
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.7,-148.09161,-21.240852,5.288009
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.8,-148.753889,-21.054098,5.137894
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:23.9,-149.601628,-21.66312,4.881664
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.0,-150.611208,-21.869688,4.362179
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.1,-152.029644,-22.418429,2.550387
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.2,-151.883448,-20.768286,2.271541
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.3,-149.111638,-23.982892,3.52784
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.4,-146.320737,-24.638734,4.189054
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.5,-144.802166,-25.304867,4.272865
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.6,-143.793962,-24.978113,4.232337
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.7,-144.118577,-25.850162,3.984956
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.8,-145.565983,-27.572027,4.684781
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:24.9,-147.047393,-27.820187,4.073357
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.0,-149.349658,-27.999985,3.272994
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.1,-150.822104,-27.849494,2.654334
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.2,-150.99509,-27.83036,2.643042
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.3,-150.676839,-27.723418,2.234989
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.4,-151.185028,-27.455323,1.009746
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.5,-151.689698,-25.782739,-0.1309
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.6,-151.210857,-27.651527,-1.482429
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.7,-147.87308,-27.322059,1.375062
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.8,-146.612488,-27.905951,2.52061
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:25.9,-146.668055,-28.10297,2.821167
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.0,-146.84304,-28.343054,2.260343
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.1,-148.49257,-28.679125,2.846827
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.2,-150.52391,-30.034512,3.035092
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.3,-152.446814,-28.283843,1.92115
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.4,-153.965173,-28.918487,2.757625
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.5,-154.458646,-29.576209,2.316914
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.6,-154.44392,-29.513349,0.979519
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.7,-155.63157,-29.124249,-0.41613
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.8,-155.763275,-28.903046,-0.702789
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:26.9,-152.23798,-28.18479,-0.173611
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.0,-149.509638,-29.355021,1.895945
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.1,-147.744525,-29.161327,2.418093
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.2,-147.025479,-29.433818,2.660691
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.3,-147.582258,-29.221102,3.443361
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.4,-150.713493,-29.586516,1.56924
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.5,-150.978967,-29.186237,1.937632
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.6,-151.055666,-28.130794,2.996591
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.7,-151.646175,-28.347901,3.020192
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.8,-152.101382,-29.364395,2.29109
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:27.9,-151.910192,-29.222289,0.988915
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.0,-151.832591,-27.260781,0.43178
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.1,-152.865199,-29.471664,-0.592939
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.2,-149.672084,-29.076214,1.966789
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.3,-147.683575,-29.215456,3.130473
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.4,-147.163031,-29.13048,3.300459
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.5,-147.981534,-29.35218,2.85464
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.6,-149.819615,-29.214084,3.814
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.7,-151.711135,-28.011538,2.591508
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.8,-153.131779,-26.798466,2.187785
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:28.9,-153.944523,-27.011206,2.293254
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.0,-154.492489,-27.66018,2.1063
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.1,-155.059042,-28.489782,1.872084
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.2,-155.21315,-27.608688,0.324246
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.3,-154.517463,-24.010433,-0.142944
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.4,-155.74549,-27.278881,-1.931678
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.5,-152.092682,-27.448839,0.536554
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.6,-150.175804,-27.266686,2.352734
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.7,-150.08616,-27.346697,3.069188
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.8,-150.723077,-28.126329,2.82392
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:29.9,-150.179236,-27.148355,3.772451
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.0,-151.174383,-27.302958,3.193778
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.1,-152.585528,-28.175996,2.740746
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.2,-152.369244,-28.555023,2.971174
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.3,-151.258838,-28.413777,3.075108
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.4,-147.76686,-27.295849,2.091873
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.5,-141.043983,-26.395488,1.686456
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.6,-131.80636,-24.28241,2.118094
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.7,-123.386258,-24.189528,3.182624
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.8,-117.560766,-25.057673,3.951412
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,34:30.9,-113.864164,-23.3357,5.462589
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.2,-67.354907,-11.933668,3.364857
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.3,-66.748062,-11.972143,3.6166
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.4,-66.218925,-11.836498,4.902936
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.5,-65.999154,-11.878969,5.617096
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.6,-67.421267,-12.780922,5.559476
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.7,-68.451695,-12.805269,4.737967
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.8,-68.744423,-12.296807,5.752164
wf1-2_E_ori,"""walk forward from point 1 to point 2: walk east""",1,36:01.9,-69.677096,-12.333594,5.757549
